=== FINAL SESSION METRICS ===
Timestamp: 2026-03-28 14:29:40
Session Duration: 09:59:53
Total Orders: 1560
Total Trades: 1329
Total Fees: 17.4679 USDT
Final Balance: 31.06 USDT
Overall Win Rate: 36.5%
Average TPM: 2.22

=== ACTIVE ASSET LIST ===
ETHUSDT: Trades: 1 | Win%: 0.0% | PnL: -0.07
LINKUSDT: Trades: 2 | Win%: 50.0% | PnL: -0.04
ENAUSDT: Trades: 2 | Win%: 50.0% | PnL: -0.28
BSBUSDT: Trades: 7 | Win%: 42.9% | PnL: -0.57
PIXELUSDT: Trades: 4 | Win%: 50.0% | PnL: -0.35
QUSDT: Trades: 3 | Win%: 66.7% | PnL: 0.62
CLUSDT: Trades: 3 | Win%: 66.7% | PnL: 0.08
ONTUSDT: Trades: 2 | Win%: 0.0% | PnL: -1.40
TRUMPUSDT: Trades: 5 | Win%: 60.0% | PnL: -0.01
BCHUSDT: Trades: 3 | Win%: 100.0% | PnL: 0.06
ONDOUSDT: Trades: 1 | Win%: 100.0% | PnL: 0.18
AAPLUSDT: Trades: 3 | Win%: 0.0% | PnL: -0.13
AAVEUSDT: Trades: 3 | Win%: 33.3% | PnL: -0.09
FILUSDT: Trades: 2 | Win%: 100.0% | PnL: 0.30
KNCUSDT: Trades: 8 | Win%: 25.0% | PnL: -0.85
AVAXUSDT: Trades: 4 | Win%: 75.0% | PnL: 0.10
FETUSDT: Trades: 4 | Win%: 25.0% | PnL: -1.00
ARIAUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
APTUSDT: Trades: 5 | Win%: 60.0% | PnL: 0.12
WIFUSDT: Trades: 3 | Win%: 33.3% | PnL: -0.23
LYNUSDT: Trades: 7 | Win%: 71.4% | PnL: -0.54
NEARUSDT: Trades: 4 | Win%: 25.0% | PnL: -0.25
FARTCOINUSDT: Trades: 2 | Win%: 0.0% | PnL: -0.22
MUUSDT: Trades: 1 | Win%: 0.0% | PnL: -0.08
RENDERUSDT: Trades: 2 | Win%: 50.0% | PnL: -0.00
DOTUSDT: Trades: 6 | Win%: 0.0% | PnL: -1.04
MUSDT: Trades: 1 | Win%: 100.0% | PnL: 0.14
PENGUUSDT: Trades: 3 | Win%: 100.0% | PnL: 0.28
LTCUSDT: Trades: 4 | Win%: 0.0% | PnL: -0.73
XLMUSDT: Trades: 5 | Win%: 60.0% | PnL: -0.00
KITEUSDT: Trades: 1 | Win%: 0.0% | PnL: -0.34
KATUSDT: Trades: 4 | Win%: 50.0% | PnL: 0.31
LDOUSDT: Trades: 2 | Win%: 0.0% | PnL: -0.47
AMZNUSDT: Trades: 4 | Win%: 0.0% | PnL: -0.11
PUMPUSDT: Trades: 6 | Win%: 50.0% | PnL: -0.13
BRUSDT: Trades: 4 | Win%: 25.0% | PnL: -0.53
TRXUSDT: Trades: 2 | Win%: 0.0% | PnL: -0.11
CFGUSDT: Trades: 4 | Win%: 25.0% | PnL: -0.61
VIRTUALUSDT: Trades: 4 | Win%: 75.0% | PnL: -0.08
PIUSDT: Trades: 4 | Win%: 25.0% | PnL: -0.88
SHIBUSDT: Trades: 5 | Win%: 20.0% | PnL: -0.33
BEATUSDT: Trades: 1 | Win%: 0.0% | PnL: -0.42
GOOGLUSDT: Trades: 6 | Win%: 0.0% | PnL: -0.22
TRIAUSDT: Trades: 1 | Win%: 0.0% | PnL: -0.39
SEIUSDT: Trades: 4 | Win%: 25.0% | PnL: -0.20
CRVUSDT: Trades: 4 | Win%: 0.0% | PnL: -0.77
ZROUSDT: Trades: 6 | Win%: 50.0% | PnL: -0.09
PROVEUSDT: Trades: 5 | Win%: 60.0% | PnL: -0.01
UNIUSDT: Trades: 3 | Win%: 66.7% | PnL: 0.10
METAUSDT: Trades: 2 | Win%: 0.0% | PnL: -0.03
XPLUSDT: Trades: 5 | Win%: 20.0% | PnL: -1.23
STOUSDT: Trades: 8 | Win%: 25.0% | PnL: -2.01
HBARUSDT: Trades: 3 | Win%: 33.3% | PnL: -0.06
MYXUSDT: Trades: 4 | Win%: 0.0% | PnL: -0.73
ASTERUSDT: Trades: 2 | Win%: 100.0% | PnL: 0.12
TIAUSDT: Trades: 3 | Win%: 0.0% | PnL: -0.34
ARCUSDT: Trades: 3 | Win%: 0.0% | PnL: -1.15
ENSOUSDT: Trades: 3 | Win%: 66.7% | PnL: -0.22
ANKRUSDT: Trades: 2 | Win%: 50.0% | PnL: -0.01
ARBUSDT: Trades: 4 | Win%: 0.0% | PnL: -0.71
HUMAUSDT: Trades: 1 | Win%: 100.0% | PnL: 0.24
WLFIUSDT: Trades: 6 | Win%: 66.7% | PnL: 0.43
LIGHTUSDT: Trades: 5 | Win%: 20.0% | PnL: -1.03
JCTUSDT: Trades: 3 | Win%: 66.7% | PnL: -0.05
SAHARAUSDT: Trades: 6 | Win%: 66.7% | PnL: 0.26
BARDUSDT: Trades: 5 | Win%: 20.0% | PnL: -0.73
ETHFIUSDT: Trades: 3 | Win%: 100.0% | PnL: 0.25
XMRUSDT: Trades: 4 | Win%: 25.0% | PnL: -0.09
1000BONKUSDT: Trades: 3 | Win%: 100.0% | PnL: 0.17
ICPUSDT: Trades: 5 | Win%: 60.0% | PnL: 0.05
UAIUSDT: Trades: 3 | Win%: 100.0% | PnL: 0.83
ETCUSDT: Trades: 1 | Win%: 100.0% | PnL: 0.10
1000RATSUSDT: Trades: 7 | Win%: 42.9% | PnL: 0.57
ROBOUSDT: Trades: 1 | Win%: 0.0% | PnL: -0.19
AKTUSDT: Trades: 6 | Win%: 50.0% | PnL: -0.35
PEOPLEUSDT: Trades: 3 | Win%: 33.3% | PnL: -0.44
RESOLVUSDT: Trades: 6 | Win%: 66.7% | PnL: -0.12
DYDXUSDT: Trades: 6 | Win%: 66.7% | PnL: 0.69
BGBUSDT: Trades: 4 | Win%: 25.0% | PnL: -0.08
GALAUSDT: Trades: 4 | Win%: 50.0% | PnL: -0.05
EWYUSDT: Trades: 6 | Win%: 16.7% | PnL: -0.26
VVVUSDT: Trades: 4 | Win%: 25.0% | PnL: -0.39
AXSUSDT: Trades: 6 | Win%: 33.3% | PnL: -0.74
MSFTUSDT: Trades: 5 | Win%: 0.0% | PnL: -0.20
CHZUSDT: Trades: 1 | Win%: 100.0% | PnL: 0.15
SIGNUSDT: Trades: 1 | Win%: 0.0% | PnL: -0.25
TONUSDT: Trades: 2 | Win%: 100.0% | PnL: 0.09
PLTRUSDT: Trades: 2 | Win%: 0.0% | PnL: -0.09
IPUSDT: Trades: 4 | Win%: 50.0% | PnL: 0.14
OPUSDT: Trades: 6 | Win%: 0.0% | PnL: -1.11
ATOMUSDT: Trades: 2 | Win%: 100.0% | PnL: 0.14
GEUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
CYSUSDT: Trades: 3 | Win%: 66.7% | PnL: 0.73
RDDTUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
ATHUSDT: Trades: 6 | Win%: 16.7% | PnL: -0.51
UNHUSDT: Trades: 4 | Win%: 0.0% | PnL: -0.23
APPUSDT: Trades: 1 | Win%: 0.0% | PnL: -0.10
4USDT: Trades: 6 | Win%: 50.0% | PnL: -0.64
INTCUSDT: Trades: 2 | Win%: 50.0% | PnL: -0.01
QQQUSDT: Trades: 1 | Win%: 0.0% | PnL: -0.02
ICNTUSDT: Trades: 3 | Win%: 66.7% | PnL: -0.40
PARTIUSDT: Trades: 4 | Win%: 50.0% | PnL: -0.23
HOODUSDT: Trades: 2 | Win%: 0.0% | PnL: -0.11
BANANAS31USDT: Trades: 5 | Win%: 40.0% | PnL: 0.23
KASUSDT: Trades: 5 | Win%: 40.0% | PnL: -0.60
BASUSDT: Trades: 2 | Win%: 50.0% | PnL: -0.27
ZENUSDT: Trades: 4 | Win%: 50.0% | PnL: -0.02
INJUSDT: Trades: 3 | Win%: 0.0% | PnL: -0.34
GIGGLEUSDT: Trades: 3 | Win%: 33.3% | PnL: -0.34
DEXEUSDT: Trades: 2 | Win%: 50.0% | PnL: -0.22
SPYUSDT: Trades: 2 | Win%: 50.0% | PnL: -0.01
MAGMAUSDT: Trades: 2 | Win%: 50.0% | PnL: 0.07
LABUSDT: Trades: 1 | Win%: 0.0% | PnL: -0.32
CETUSUSDT: Trades: 6 | Win%: 50.0% | PnL: -0.32
FOLKSUSDT: Trades: 2 | Win%: 50.0% | PnL: 0.10
GRASSUSDT: Trades: 3 | Win%: 66.7% | PnL: 0.39
BABAUSDT: Trades: 2 | Win%: 0.0% | PnL: -0.19
POLUSDT: Trades: 6 | Win%: 33.3% | PnL: -0.38
PNUTUSDT: Trades: 3 | Win%: 33.3% | PnL: -0.10
JTOUSDT: Trades: 2 | Win%: 50.0% | PnL: -0.13
MONUSDT: Trades: 8 | Win%: 25.0% | PnL: -0.81
LITUSDT: Trades: 5 | Win%: 0.0% | PnL: -1.09
SUPERUSDT: Trades: 3 | Win%: 33.3% | PnL: -0.24
SANDUSDT: Trades: 3 | Win%: 33.3% | PnL: 0.02
TSMUSDT: Trades: 6 | Win%: 16.7% | PnL: -0.47
KWEBUSDT: Trades: 2 | Win%: 0.0% | PnL: -0.45
OXYUSDT: Trades: 2 | Win%: 0.0% | PnL: -0.11
POWERUSDT: Trades: 5 | Win%: 60.0% | PnL: 0.14
APRUSDT: Trades: 1 | Win%: 100.0% | PnL: 0.06
JUPUSDT: Trades: 2 | Win%: 0.0% | PnL: -0.25
OPNUSDT: Trades: 5 | Win%: 40.0% | PnL: 0.02
ORDIUSDT: Trades: 2 | Win%: 50.0% | PnL: -0.03
NIGHTUSDT: Trades: 2 | Win%: 50.0% | PnL: 0.32
CFXUSDT: Trades: 3 | Win%: 0.0% | PnL: -0.44
AIXBTUSDT: Trades: 5 | Win%: 80.0% | PnL: 0.56
KAVAUSDT: Trades: 4 | Win%: 75.0% | PnL: 0.31
ALGOUSDT: Trades: 3 | Win%: 0.0% | PnL: -0.40
JASMYUSDT: Trades: 3 | Win%: 0.0% | PnL: -0.30
JSTUSDT: Trades: 3 | Win%: 100.0% | PnL: 0.54
HUSDT: Trades: 6 | Win%: 33.3% | PnL: -0.63
MRVLUSDT: Trades: 1 | Win%: 0.0% | PnL: -0.06
STRKUSDT: Trades: 1 | Win%: 0.0% | PnL: -0.17
SENTUSDT: Trades: 2 | Win%: 0.0% | PnL: -0.58
ESPORTSUSDT: Trades: 2 | Win%: 0.0% | PnL: -0.71
SPXUSDT: Trades: 3 | Win%: 33.3% | PnL: -0.40
EWTUSDT: Trades: 2 | Win%: 0.0% | PnL: -0.13
CATIUSDT: Trades: 3 | Win%: 66.7% | PnL: 0.10
JDUSDT: Trades: 5 | Win%: 0.0% | PnL: -0.51
ZBTUSDT: Trades: 5 | Win%: 80.0% | PnL: 0.27
COPUSDT: Trades: 3 | Win%: 0.0% | PnL: -0.25
RAVEUSDT: Trades: 2 | Win%: 50.0% | PnL: 0.03
METUSDT: Trades: 3 | Win%: 33.3% | PnL: 0.13
SPACEUSDT: Trades: 2 | Win%: 100.0% | PnL: 0.05
FLOKIUSDT: Trades: 7 | Win%: 28.6% | PnL: 0.07
VETUSDT: Trades: 3 | Win%: 33.3% | PnL: -0.14
INITUSDT: Trades: 3 | Win%: 33.3% | PnL: -0.05
XPTUSDT: Trades: 2 | Win%: 50.0% | PnL: -0.01
BRETTUSDT: Trades: 2 | Win%: 50.0% | PnL: 0.08
PLUMEUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
CSCOUSDT: Trades: 4 | Win%: 50.0% | PnL: -0.05
MANTRAUSDT: Trades: 4 | Win%: 0.0% | PnL: -0.63
STABLEUSDT: Trades: 3 | Win%: 33.3% | PnL: -0.24
IOTAUSDT: Trades: 5 | Win%: 60.0% | PnL: 0.38
ACNUSDT: Trades: 4 | Win%: 0.0% | PnL: -0.23
INXUSDT: Trades: 5 | Win%: 20.0% | PnL: -0.41
MOODENGUSDT: Trades: 3 | Win%: 66.7% | PnL: 0.12
COSTUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
ASMLUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
ENJUSDT: Trades: 3 | Win%: 100.0% | PnL: 0.17
AVGOUSDT: Trades: 1 | Win%: 0.0% | PnL: -0.02
SKYAIUSDT: Trades: 4 | Win%: 25.0% | PnL: 0.03
CAKEUSDT: Trades: 1 | Win%: 0.0% | PnL: -0.03
BERAUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
1000SATSUSDT: Trades: 3 | Win%: 33.3% | PnL: -0.22
GUNUSDT: Trades: 3 | Win%: 66.7% | PnL: 0.24
AGLDUSDT: Trades: 6 | Win%: 16.7% | PnL: -0.81
XOMUSDT: Trades: 4 | Win%: 0.0% | PnL: -0.25
ESPUSDT: Trades: 1 | Win%: 0.0% | PnL: -0.09
STXUSDT: Trades: 2 | Win%: 50.0% | PnL: -0.06
ENSUSDT: Trades: 3 | Win%: 66.7% | PnL: 0.15
PIEVERSEUSDT: Trades: 1 | Win%: 0.0% | PnL: -0.12
APEUSDT: Trades: 4 | Win%: 25.0% | PnL: -0.61
EWJUSDT: Trades: 4 | Win%: 0.0% | PnL: -0.40
RVNUSDT: Trades: 6 | Win%: 50.0% | PnL: 0.09
XTZUSDT: Trades: 3 | Win%: 33.3% | PnL: -0.00
ALICEUSDT: Trades: 5 | Win%: 0.0% | PnL: -1.08
AEROUSDT: Trades: 2 | Win%: 0.0% | PnL: -0.24
KERNELUSDT: Trades: 2 | Win%: 50.0% | PnL: 0.10
ZKUSDT: Trades: 1 | Win%: 0.0% | PnL: -0.09
NOMUSDT: Trades: 6 | Win%: 50.0% | PnL: 1.79
FLUXUSDT: Trades: 7 | Win%: 28.6% | PnL: -0.36
ZAMAUSDT: Trades: 5 | Win%: 40.0% | PnL: -0.17
NAORISUSDT: Trades: 3 | Win%: 0.0% | PnL: -0.63
QNTUSDT: Trades: 3 | Win%: 66.7% | PnL: -0.03
ARUSDT: Trades: 4 | Win%: 50.0% | PnL: 0.02
FUTUUSDT: Trades: 3 | Win%: 0.0% | PnL: -0.14
PYTHUSDT: Trades: 3 | Win%: 33.3% | PnL: -0.10
ARKMUSDT: Trades: 3 | Win%: 33.3% | PnL: -0.18
BIRBUSDT: Trades: 3 | Win%: 0.0% | PnL: -0.80
AINUSDT: Trades: 7 | Win%: 28.6% | PnL: -1.64
1MBABYDOGEUSDT: Trades: 3 | Win%: 66.7% | PnL: 0.06
SXTUSDT: Trades: 5 | Win%: 40.0% | PnL: -0.00
STEEMUSDT: Trades: 7 | Win%: 28.6% | PnL: -0.22
THEUSDT: Trades: 7 | Win%: 28.6% | PnL: -0.49
LINEAUSDT: Trades: 3 | Win%: 66.7% | PnL: 0.26
YGGUSDT: Trades: 4 | Win%: 25.0% | PnL: -0.66
BLESSUSDT: Trades: 5 | Win%: 20.0% | PnL: -0.45
SUSDT: Trades: 5 | Win%: 40.0% | PnL: 0.28
GWEIUSDT: Trades: 3 | Win%: 66.7% | PnL: -0.06
DASHUSDT: Trades: 3 | Win%: 0.0% | PnL: -0.57
USELESSUSDT: Trades: 3 | Win%: 33.3% | PnL: -0.04
GMEUSDT: Trades: 2 | Win%: 0.0% | PnL: -0.26
ARMUSDT: Trades: 1 | Win%: 100.0% | PnL: 0.28
COMPUSDT: Trades: 3 | Win%: 66.7% | PnL: 0.13
PENDLEUSDT: Trades: 2 | Win%: 0.0% | PnL: -0.28
ZILUSDT: Trades: 3 | Win%: 0.0% | PnL: -0.34
XPINUSDT: Trades: 2 | Win%: 50.0% | PnL: 0.01
XANUSDT: Trades: 3 | Win%: 0.0% | PnL: -0.86
DENTUSDT: Trades: 7 | Win%: 14.3% | PnL: -0.57
VELVETUSDT: Trades: 6 | Win%: 66.7% | PnL: 1.28
WUSDT: Trades: 3 | Win%: 66.7% | PnL: 0.18
ICXUSDT: Trades: 5 | Win%: 60.0% | PnL: 0.05
TURBOUSDT: Trades: 2 | Win%: 50.0% | PnL: -0.08
MORPHOUSDT: Trades: 1 | Win%: 0.0% | PnL: -0.02
BROCCOLIUSDT: Trades: 6 | Win%: 16.7% | PnL: -0.49
MAUSDT: Trades: 1 | Win%: 0.0% | PnL: -0.04
TRBUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
DYMUSDT: Trades: 3 | Win%: 66.7% | PnL: 0.20
RSRUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
BATUSDT: Trades: 5 | Win%: 20.0% | PnL: -0.37
XVGUSDT: Trades: 1 | Win%: 100.0% | PnL: 0.05
龙虾USDT: Trades: 1 | Win%: 100.0% | PnL: 0.40
WETUSDT: Trades: 2 | Win%: 0.0% | PnL: -0.18
CROUSDT: Trades: 3 | Win%: 33.3% | PnL: -0.13
AVNTUSDT: Trades: 2 | Win%: 50.0% | PnL: 0.00
KAITOUSDT: Trades: 3 | Win%: 100.0% | PnL: 0.13
NOTUSDT: Trades: 6 | Win%: 33.3% | PnL: -0.34
ORCLUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
ANIMEUSDT: Trades: 5 | Win%: 80.0% | PnL: 0.21
BOMEUSDT: Trades: 3 | Win%: 66.7% | PnL: 0.16
TOWNSUSDT: Trades: 1 | Win%: 0.0% | PnL: -0.08
KAIAUSDT: Trades: 4 | Win%: 50.0% | PnL: -0.02
FOGOUSDT: Trades: 5 | Win%: 80.0% | PnL: 0.09
EIGENUSDT: Trades: 2 | Win%: 100.0% | PnL: 0.10
UBUSDT: Trades: 6 | Win%: 66.7% | PnL: 0.96
FORMUSDT: Trades: 6 | Win%: 33.3% | PnL: -0.34
ROSEUSDT: Trades: 3 | Win%: 66.7% | PnL: 0.10
0GUSDT: Trades: 5 | Win%: 60.0% | PnL: 0.72
MEMEUSDT: Trades: 3 | Win%: 33.3% | PnL: 0.02
IOUSDT: Trades: 3 | Win%: 33.3% | PnL: 0.03
NMRUSDT: Trades: 3 | Win%: 0.0% | PnL: -0.57
KGENUSDT: Trades: 6 | Win%: 33.3% | PnL: -0.23
PHAUSDT: Trades: 3 | Win%: 0.0% | PnL: -0.69
MANAUSDT: Trades: 3 | Win%: 0.0% | PnL: -0.49
MINAUSDT: Trades: 3 | Win%: 100.0% | PnL: 0.30
SUNUSDT: Trades: 4 | Win%: 50.0% | PnL: -0.00
STORJUSDT: Trades: 5 | Win%: 20.0% | PnL: -0.62
IRYSUSDT: Trades: 7 | Win%: 57.1% | PnL: -0.34
DEEPUSDT: Trades: 1 | Win%: 0.0% | PnL: -0.15
BIOUSDT: Trades: 5 | Win%: 60.0% | PnL: -0.14
IMXUSDT: Trades: 5 | Win%: 20.0% | PnL: -0.56
CHRUSDT: Trades: 1 | Win%: 0.0% | PnL: -0.16
LPTUSDT: Trades: 4 | Win%: 25.0% | PnL: -0.24
AXLUSDT: Trades: 3 | Win%: 66.7% | PnL: 0.28
BOBUSDT: Trades: 3 | Win%: 33.3% | PnL: -0.08
BANANAUSDT: Trades: 5 | Win%: 40.0% | PnL: -0.14
WAXPUSDT: Trades: 4 | Win%: 50.0% | PnL: 0.02
OLUSDT: Trades: 8 | Win%: 25.0% | PnL: -1.65
MELANIAUSDT: Trades: 3 | Win%: 33.3% | PnL: -0.19
BANKUSDT: Trades: 1 | Win%: 100.0% | PnL: 0.19
BANUSDT: Trades: 3 | Win%: 33.3% | PnL: 0.20
GOATUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
LUNCUSDT: Trades: 3 | Win%: 0.0% | PnL: -0.32
XAIUSDT: Trades: 5 | Win%: 0.0% | PnL: -0.70
LAYERUSDT: Trades: 3 | Win%: 66.7% | PnL: 0.15
MEWUSDT: Trades: 2 | Win%: 0.0% | PnL: -0.17
SUSHIUSDT: Trades: 4 | Win%: 0.0% | PnL: -0.42
GASUSDT: Trades: 3 | Win%: 33.3% | PnL: -0.27
LAUSDT: Trades: 5 | Win%: 60.0% | PnL: 0.16
COAIUSDT: Trades: 5 | Win%: 0.0% | PnL: -0.37
MUBARAKUSDT: Trades: 5 | Win%: 40.0% | PnL: -0.35
POPCATUSDT: Trades: 4 | Win%: 25.0% | PnL: 0.06
AZTECUSDT: Trades: 4 | Win%: 75.0% | PnL: 0.09
CROSSUSDT: Trades: 5 | Win%: 60.0% | PnL: 0.36
EDENUSDT: Trades: 5 | Win%: 20.0% | PnL: -0.48
IDOLUSDT: Trades: 3 | Win%: 33.3% | PnL: 0.26
GRIFFAINUSDT: Trades: 5 | Win%: 0.0% | PnL: -1.44
ACHUSDT: Trades: 4 | Win%: 0.0% | PnL: -0.35
ONGUSDT: Trades: 1 | Win%: 100.0% | PnL: 0.16
THETAUSDT: Trades: 4 | Win%: 0.0% | PnL: -0.41
POLYXUSDT: Trades: 3 | Win%: 33.3% | PnL: -0.06
EGLDUSDT: Trades: 1 | Win%: 0.0% | PnL: -0.10
SNXUSDT: Trades: 2 | Win%: 50.0% | PnL: 0.22
OPENUSDT: Trades: 3 | Win%: 33.3% | PnL: -0.21
ZORAUSDT: Trades: 1 | Win%: 0.0% | PnL: -0.15
KMNOUSDT: Trades: 5 | Win%: 60.0% | PnL: 0.26
YBUSDT: Trades: 8 | Win%: 50.0% | PnL: -0.18
VELOUSDT: Trades: 6 | Win%: 50.0% | PnL: -0.27
DRIFTUSDT: Trades: 2 | Win%: 0.0% | PnL: -0.30
AEVOUSDT: Trades: 4 | Win%: 25.0% | PnL: -0.14
PROMUSDT: Trades: 3 | Win%: 66.7% | PnL: 0.11
UMAUSDT: Trades: 2 | Win%: 100.0% | PnL: 0.08
WALUSDT: Trades: 2 | Win%: 0.0% | PnL: -0.30
LUMIAUSDT: Trades: 2 | Win%: 100.0% | PnL: 0.68
SKYUSDT: Trades: 2 | Win%: 50.0% | PnL: 0.08
AUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
DOODUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
GMTUSDT: Trades: 4 | Win%: 25.0% | PnL: -0.50
NEOUSDT: Trades: 3 | Win%: 33.3% | PnL: -0.03
BABYUSDT: Trades: 7 | Win%: 14.3% | PnL: -1.00
TUTUSDT: Trades: 1 | Win%: 100.0% | PnL: 0.20
NILUSDT: Trades: 3 | Win%: 33.3% | PnL: -0.37
SOMIUSDT: Trades: 2 | Win%: 100.0% | PnL: 0.48
MASKUSDT: Trades: 2 | Win%: 0.0% | PnL: -0.30
1INCHUSDT: Trades: 3 | Win%: 33.3% | PnL: -0.23
GMXUSDT: Trades: 2 | Win%: 0.0% | PnL: -0.17
GLMUSDT: Trades: 7 | Win%: 14.3% | PnL: -0.82
ALLOUSDT: Trades: 1 | Win%: 100.0% | PnL: 0.08
COWUSDT: Trades: 4 | Win%: 75.0% | PnL: 0.44
ZETAUSDT: Trades: 4 | Win%: 0.0% | PnL: -0.33
SYRUPUSDT: Trades: 3 | Win%: 33.3% | PnL: -0.07
ALTUSDT: Trades: 4 | Win%: 75.0% | PnL: 0.17
HOLOUSDT: Trades: 4 | Win%: 25.0% | PnL: -0.10
MEUSDT: Trades: 2 | Win%: 50.0% | PnL: -0.04
MMTUSDT: Trades: 3 | Win%: 33.3% | PnL: -0.26
CELOUSDT: Trades: 4 | Win%: 50.0% | PnL: -0.47
HYPERUSDT: Trades: 5 | Win%: 40.0% | PnL: -0.37
REZUSDT: Trades: 4 | Win%: 75.0% | PnL: 0.52
ASTRUSDT: Trades: 3 | Win%: 66.7% | PnL: 0.29
KSMUSDT: Trades: 2 | Win%: 50.0% | PnL: 0.02
SKRUSDT: Trades: 1 | Win%: 100.0% | PnL: 0.07
GUSDT: Trades: 5 | Win%: 20.0% | PnL: -0.27
QTUMUSDT: Trades: 5 | Win%: 0.0% | PnL: -0.90
COOKIEUSDT: Trades: 3 | Win%: 33.3% | PnL: -0.07
C98USDT: Trades: 6 | Win%: 33.3% | PnL: -0.02
ZKPUSDT: Trades: 3 | Win%: 0.0% | PnL: -0.20
TOSHIUSDT: Trades: 2 | Win%: 0.0% | PnL: -0.13
HOMEUSDT: Trades: 5 | Win%: 40.0% | PnL: -0.19
XPDUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
MOVEUSDT: Trades: 1 | Win%: 100.0% | PnL: 0.17
RAYUSDT: Trades: 2 | Win%: 0.0% | PnL: -0.12
ACXUSDT: Trades: 9 | Win%: 22.2% | PnL: -0.45
POWRUSDT: Trades: 4 | Win%: 50.0% | PnL: -0.00
CARVUSDT: Trades: 6 | Win%: 33.3% | PnL: -0.28
ACEUSDT: Trades: 2 | Win%: 50.0% | PnL: -0.29
OGNUSDT: Trades: 4 | Win%: 75.0% | PnL: 0.26
MERLUSDT: Trades: 5 | Win%: 60.0% | PnL: 0.66
ZKCUSDT: Trades: 2 | Win%: 0.0% | PnL: -0.40
AIUSDT: Trades: 1 | Win%: 0.0% | PnL: -0.23
VANAUSDT: Trades: 3 | Win%: 66.7% | PnL: 0.05
METISUSDT: Trades: 5 | Win%: 40.0% | PnL: 0.01
ACUUSDT: Trades: 3 | Win%: 33.3% | PnL: 0.01
MAVUSDT: Trades: 1 | Win%: 100.0% | PnL: 0.11
2ZUSDT: Trades: 1 | Win%: 100.0% | PnL: 0.11
SQDUSDT: Trades: 3 | Win%: 33.3% | PnL: -0.22
ATUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
ALCHUSDT: Trades: 2 | Win%: 0.0% | PnL: -0.20
GRTUSDT: Trades: 5 | Win%: 40.0% | PnL: 0.18
ZRXUSDT: Trades: 3 | Win%: 0.0% | PnL: -0.44
BBUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
