=== FINAL SESSION METRICS ===
Timestamp: 2026-03-28 01:51:15
Session Duration: 02:09:17
Total Orders: 375
Total Trades: 147
Total Fees: 64.6679 USDT
Final Balance: 9535.11 USDT
Overall Win Rate: 14.3%
Average TPM: 1.14

=== ACTIVE ASSET LIST ===
ETHUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
AMZNUSDT: Trades: 2 | Win%: 0.0% | PnL: -9.70
GOOGLUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
VIRTUALUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
ONTUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
METAUSDT: Trades: 1 | Win%: 0.0% | PnL: -14.36
LDOUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
ZROUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
SEIUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
PROVEUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
UNIUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
CRVUSDT: Trades: 3 | Win%: 0.0% | PnL: -24.58
TRIAUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
ASTERUSDT: Trades: 2 | Win%: 0.0% | PnL: -29.78
XPLUSDT: Trades: 1 | Win%: 0.0% | PnL: -0.29
STOUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
HBARUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
ROBOUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
CFGUSDT: Trades: 1 | Win%: 100.0% | PnL: 0.26
MYXUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
TIAUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
SAHARAUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
WLFIUSDT: Trades: 1 | Win%: 0.0% | PnL: -0.58
ANKRUSDT: Trades: 1 | Win%: 0.0% | PnL: -0.63
EWYUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
UAIUSDT: Trades: 2 | Win%: 0.0% | PnL: -7.76
ENSOUSDT: Trades: 1 | Win%: 0.0% | PnL: -8.52
ARBUSDT: Trades: 2 | Win%: 0.0% | PnL: -9.73
VVVUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
HUMAUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
XMRUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
ICPUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
ETHFIUSDT: Trades: 1 | Win%: 0.0% | PnL: -0.50
DYDXUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
CYSUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
LIGHTUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
RESOLVUSDT: Trades: 1 | Win%: 0.0% | PnL: -5.17
JCTUSDT: Trades: 1 | Win%: 0.0% | PnL: -0.54
1000RATSUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
ARCUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
SIGNUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
1000BONKUSDT: Trades: 1 | Win%: 0.0% | PnL: -0.27
ETCUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
MSFTUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
PLTRUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
GALAUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
PEOPLEUSDT: Trades: 1 | Win%: 0.0% | PnL: -9.69
AXSUSDT: Trades: 1 | Win%: 0.0% | PnL: -12.48
AKTUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
OPUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
ATOMUSDT: Trades: 2 | Win%: 0.0% | PnL: -21.53
BARDUSDT: Trades: 1 | Win%: 0.0% | PnL: -0.62
QQQUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
BGBUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
ATHUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
RDDTUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
INTCUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
PARTIUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
FOLKSUSDT: Trades: 1 | Win%: 0.0% | PnL: -0.98
IPUSDT: Trades: 1 | Win%: 0.0% | PnL: -0.31
MAGMAUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
TONUSDT: Trades: 2 | Win%: 0.0% | PnL: -10.33
GEUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
MRVLUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
BANANAS31USDT: Trades: 2 | Win%: 0.0% | PnL: -1.15
UNHUSDT: Trades: 1 | Win%: 0.0% | PnL: -6.46
APPUSDT: Trades: 1 | Win%: 0.0% | PnL: -0.19
CHZUSDT: Trades: 1 | Win%: 0.0% | PnL: -0.46
HOODUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
BASUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
JTOUSDT: Trades: 1 | Win%: 0.0% | PnL: -7.00
KAVAUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
GIGGLEUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
ZENUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
INJUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
ICNTUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
DEXEUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
APRUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
KASUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
GRASSUSDT: Trades: 1 | Win%: 0.0% | PnL: -6.92
POLUSDT: Trades: 1 | Win%: 0.0% | PnL: -1.21
CETUSUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
POWERUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
4USDT: Trades: 1 | Win%: 100.0% | PnL: 0.75
EWTUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
SPYUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
SUPERUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
TSMUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
JUPUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
ESPORTSUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
SANDUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
LITUSDT: Trades: 1 | Win%: 0.0% | PnL: -29.61
JASMYUSDT: Trades: 1 | Win%: 0.0% | PnL: -1.17
LABUSDT: Trades: 1 | Win%: 0.0% | PnL: -0.51
OXYUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
MONUSDT: Trades: 1 | Win%: 0.0% | PnL: -0.30
PNUTUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
BABAUSDT: Trades: 1 | Win%: 0.0% | PnL: -1.73
JSTUSDT: Trades: 1 | Win%: 0.0% | PnL: -0.25
AIXBTUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
HUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
CFXUSDT: Trades: 1 | Win%: 0.0% | PnL: -1.09
OPNUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
ORDIUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
ALGOUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
PLUMEUSDT: Trades: 2 | Win%: 50.0% | PnL: 714.49
MANTRAUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
NIGHTUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
SPXUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
CSCOUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
RAVEUSDT: Trades: 1 | Win%: 0.0% | PnL: -6.57
XOMUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
XPTUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
COPUSDT: Trades: 1 | Win%: 0.0% | PnL: -0.14
VETUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
SPACEUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
MOODENGUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
BRETTUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
STABLEUSDT: Trades: 2 | Win%: 0.0% | PnL: -14.96
STRKUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
METUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
SKYAIUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
INITUSDT: Trades: 1 | Win%: 0.0% | PnL: -1.12
PIEVERSEUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
GMEUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
GUNUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
ASMLUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
ENJUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
FLOKIUSDT: Trades: 1 | Win%: 0.0% | PnL: -0.43
NAORISUSDT: Trades: 2 | Win%: 0.0% | PnL: -8.09
1000SATSUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
IOTAUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
CATIUSDT: Trades: 1 | Win%: 0.0% | PnL: -9.59
COSTUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
AVGOUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
INXUSDT: Trades: 2 | Win%: 0.0% | PnL: -14.70
APEUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
CAKEUSDT: Trades: 1 | Win%: 0.0% | PnL: -1.20
MORPHOUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
ENSUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
ALICEUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
NOMUSDT: Trades: 1 | Win%: 0.0% | PnL: -14.57
ACNUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
YGGUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
BLESSUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
STXUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
RVNUSDT: Trades: 1 | Win%: 0.0% | PnL: -9.59
FUTUUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
BERAUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
AEROUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
ESPUSDT: Trades: 1 | Win%: 0.0% | PnL: -6.50
ZKUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
DENTUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
ARUSDT: Trades: 1 | Win%: 0.0% | PnL: -13.53
SUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
XTZUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
THEUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
WUSDT: Trades: 1 | Win%: 0.0% | PnL: -13.51
AZTECUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
PYTHUSDT: Trades: 1 | Win%: 0.0% | PnL: -13.51
GWEIUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
ZAMAUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
AGLDUSDT: Trades: 1 | Win%: 0.0% | PnL: -0.54
KERNELUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
SENTUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
KAITOUSDT: Trades: 1 | Win%: 0.0% | PnL: -0.98
QNTUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
VELVETUSDT: Trades: 1 | Win%: 0.0% | PnL: -1.09
LINEAUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
RSRUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
PENDLEUSDT: Trades: 1 | Win%: 0.0% | PnL: -9.60
ARMUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
JDUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
TRBUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
AINUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
USELESSUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
ZILUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
SXTUSDT: Trades: 1 | Win%: 0.0% | PnL: -6.57
ARKMUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
CROSSUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
TOWNSUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
龙虾USDT: Trades: 1 | Win%: 0.0% | PnL: -1.12
DASHUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
EWJUSDT: Trades: 1 | Win%: 0.0% | PnL: -14.59
BROCCOLIUSDT: Trades: 1 | Win%: 0.0% | PnL: -30.02
XPINUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
1MBABYDOGEUSDT: Trades: 2 | Win%: 50.0% | PnL: 1375.98
FLUXUSDT: Trades: 2 | Win%: 0.0% | PnL: -20.67
0GUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
ANIMEUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
BOBUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
ROSEUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
WAXPUSDT: Trades: 1 | Win%: 0.0% | PnL: -1.15
XVGUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
BIRBUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
CROUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
ICXUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
BATUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
AVNTUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
XANUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
BOMEUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
ORCLUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
TURBOUSDT: Trades: 1 | Win%: 0.0% | PnL: -12.50
IOUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
NOTUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
MAUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
PHAUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
AXLUSDT: Trades: 2 | Win%: 0.0% | PnL: -1.97
STORJUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
FORMUSDT: Trades: 1 | Win%: 0.0% | PnL: -6.93
MANAUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
BANUSDT: Trades: 1 | Win%: 0.0% | PnL: -9.97
SUNUSDT: Trades: 1 | Win%: 0.0% | PnL: -9.36
IMXUSDT: Trades: 1 | Win%: 0.0% | PnL: -1.10
GRIFFAINUSDT: Trades: 1 | Win%: 0.0% | PnL: -6.93
BIOUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
EDENUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
SUSHIUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
LPTUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
MINAUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
CARVUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
YBUSDT: Trades: 1 | Win%: 0.0% | PnL: -6.95
DYMUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
DEEPUSDT: Trades: 1 | Win%: 100.0% | PnL: 2282.99
KAIAUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
IRYSUSDT: Trades: 1 | Win%: 100.0% | PnL: 1413.87
EIGENUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
LAYERUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
CHRUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
LUNCUSDT: Trades: 1 | Win%: 100.0% | PnL: 595.16
GOATUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
UBUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
COMPUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
OPENUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
BANKUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
MEWUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
KGENUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
XAIUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
BANANAUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
EGLDUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
SNXUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
COAIUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
FOGOUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
GLMUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
MEMEUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
ZORAUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
NMRUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
1INCHUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
BABYUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
AEVOUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
SOMIUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
POPCATUSDT: Trades: 1 | Win%: 0.0% | PnL: -1.11
WALUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
KWEBUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
UMAUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
ACHUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
ACXUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
LAUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
GMTUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
THETAUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
XPDUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
IDOLUSDT: Trades: 1 | Win%: 0.0% | PnL: -7.00
ZBTUSDT: Trades: 1 | Win%: 100.0% | PnL: 0.46
HOLOUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
REZUSDT: Trades: 1 | Win%: 0.0% | PnL: -6.95
ALLOUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
ALTUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
VANAUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
C98USDT: Trades: 1 | Win%: 0.0% | PnL: -14.16
WETUSDT: Trades: 1 | Win%: 0.0% | PnL: -0.79
ZETAUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
GPSUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
ASTRUSDT: Trades: 1 | Win%: 0.0% | PnL: -0.94
MUBARAKUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
CELOUSDT: Trades: 2 | Win%: 0.0% | PnL: -16.33
SKYUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
NEOUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
SKRUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
COOKIEUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
POLYXUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
GUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
HAEDALUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
MELANIAUSDT: Trades: 3 | Win%: 33.3% | PnL: 1235.96
KMNOUSDT: Trades: 1 | Win%: 0.0% | PnL: -14.16
TOSHIUSDT: Trades: 1 | Win%: 100.0% | PnL: 384.66
MEUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
BBUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
DOODUSDT: Trades: 1 | Win%: 0.0% | PnL: -1.19
COWUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
CVXUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
KSMUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
ZKPUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
GMXUSDT: Trades: 1 | Win%: 0.0% | PnL: -6.92
OGNUSDT: Trades: 1 | Win%: 100.0% | PnL: 24.19
STEEMUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
NILUSDT: Trades: 2 | Win%: 0.0% | PnL: -15.86
VELOUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
MOVEUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
POWRUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
MAVUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
AUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
SYRUPUSDT: Trades: 1 | Win%: 100.0% | PnL: 477.51
MMTUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
HYPERUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
AWEUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
SYNUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
ACEUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
QTUMUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
MASKUSDT: Trades: 1 | Win%: 0.0% | PnL: -0.97
DRIFTUSDT: Trades: 1 | Win%: 0.0% | PnL: -13.53
TUTUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
PROMUSDT: Trades: 3 | Win%: 66.7% | PnL: 1339.40
MERLUSDT: Trades: 1 | Win%: 0.0% | PnL: -1.21
SQDUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
RAYUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
ALCHUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
REDUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
SAPIENUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
SAFEUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
ZKCUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
VANRYUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
AIUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
CLOUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
LUMIAUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
