=== FINAL SESSION METRICS ===
Timestamp: 2026-03-24 01:43:35
Session Duration: 04:26:13
Total Orders: 2100
Total Trades: 201
Total Fees: 4.4623 USDT
Final Balance: 83.40 USDT
Overall Win Rate: 53.2%
Average TPM: 0.76

=== ACTIVE ASSET LIST ===
BTCUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
CRVUSDT: Trades: 1 | Win%: 0.0% | PnL: -0.25
XMRUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
OPUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
TRXUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
XPTUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
BEATUSDT: Trades: 2 | Win%: 0.0% | PnL: -1.66
GUNUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
AEROUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
KITEUSDT: Trades: 2 | Win%: 100.0% | PnL: 0.59
GUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
PLTRUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
MSFTUSDT: Trades: 3 | Win%: 0.0% | PnL: -0.44
ICPUSDT: Trades: 2 | Win%: 0.0% | PnL: -0.77
SIGNUSDT: Trades: 4 | Win%: 100.0% | PnL: 1.77
ETHFIUSDT: Trades: 3 | Win%: 0.0% | PnL: -1.11
INTCUSDT: Trades: 1 | Win%: 0.0% | PnL: -0.44
SAHARAUSDT: Trades: 2 | Win%: 100.0% | PnL: 0.92
ZETAUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
TURBOUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
1000BONKUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
CYSUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
ETCUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
ATHUSDT: Trades: 2 | Win%: 50.0% | PnL: 0.17
ATOMUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
NIGHTUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
RDDTUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
TONUSDT: Trades: 2 | Win%: 0.0% | PnL: -0.99
FOLKSUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
SEIUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
KATUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
KASUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
AKTUSDT: Trades: 1 | Win%: 0.0% | PnL: -0.93
4USDT: Trades: 1 | Win%: 0.0% | PnL: -1.00
APRUSDT: Trades: 2 | Win%: 0.0% | PnL: -1.99
TIAUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
KAITOUSDT: Trades: 2 | Win%: 100.0% | PnL: 0.39
SPYUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
VVVUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
DEXEUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
GRASSUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
BERAUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
APPUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
IPUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
POLUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
LITUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
MUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
STOUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
ENSOUSDT: Trades: 7 | Win%: 85.7% | PnL: 1.05
CETUSUSDT: Trades: 1 | Win%: 100.0% | PnL: 0.28
METAUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
ARCUSDT: Trades: 2 | Win%: 50.0% | PnL: -0.60
ICNTUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
BANUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
DYDXUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
MYXUSDT: Trades: 3 | Win%: 100.0% | PnL: 1.36
GIGGLEUSDT: Trades: 1 | Win%: 0.0% | PnL: -0.80
RESOLVUSDT: Trades: 4 | Win%: 25.0% | PnL: -1.75
INJUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
AXSUSDT: Trades: 1 | Win%: 0.0% | PnL: -0.58
HUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
LDOUSDT: Trades: 1 | Win%: 100.0% | PnL: 0.07
HUMAUSDT: Trades: 2 | Win%: 50.0% | PnL: -0.52
OPNUSDT: Trades: 2 | Win%: 50.0% | PnL: -0.37
ASMLUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
ARUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
POWERUSDT: Trades: 2 | Win%: 100.0% | PnL: 0.29
ENJUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
XPDUSDT: Trades: 2 | Win%: 50.0% | PnL: -0.27
OXYUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
DASHUSDT: Trades: 1 | Win%: 0.0% | PnL: -0.75
ANKRUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
OPENUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
PYTHUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
JUPUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
MAGMAUSDT: Trades: 3 | Win%: 66.7% | PnL: -0.09
ZENUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
PHAUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
CFXUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
BRETTUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
FUTUUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
ALGOUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
TSMUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
SANDUSDT: Trades: 2 | Win%: 0.0% | PnL: -0.61
COPPERUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
CHZUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
VELVETUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
STRKUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
ROBOUSDT: Trades: 1 | Win%: 0.0% | PnL: -0.69
BABYUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
EWJUSDT: Trades: 2 | Win%: 50.0% | PnL: -0.28
PARTIUSDT: Trades: 1 | Win%: 0.0% | PnL: -0.58
SPXUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
STABLEUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
EIGENUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
ARMUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
FIGHTUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
ORDERUSDT: Trades: 1 | Win%: 100.0% | PnL: 0.25
KERNELUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
BABAUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
0GUSDT: Trades: 2 | Win%: 100.0% | PnL: 0.96
STXUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
BROCCOLIUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
ZKUSDT: Trades: 1 | Win%: 100.0% | PnL: 0.12
XANUSDT: Trades: 3 | Win%: 100.0% | PnL: 2.64
TRBUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
DYMUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
CFGUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
PNUTUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
CAKEUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
龙虾USDT: Trades: 1 | Win%: 100.0% | PnL: 0.24
ORCLUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
FLUIDUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
PEOPLEUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
MORPHOUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
MANTRAUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
1MBABYDOGEUSDT: Trades: 2 | Win%: 50.0% | PnL: -0.17
NAORISUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
ESPUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
SKYAIUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
PENDLEUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
QNTUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
SXTUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
MOODENGUSDT: Trades: 1 | Win%: 0.0% | PnL: -0.97
1000SATSUSDT: Trades: 1 | Win%: 0.0% | PnL: -0.48
CROUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
THEUSDT: Trades: 1 | Win%: 100.0% | PnL: 0.33
INXUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
COWUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
BLESSUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
REZUSDT: Trades: 1 | Win%: 100.0% | PnL: 0.17
AINUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
ENSUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
DENTUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
MONUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
CSCOUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
JSTUSDT: Trades: 1 | Win%: 0.0% | PnL: -0.63
SUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
GRIFFAINUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
IOTAUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
POLYXUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
2ZUSDT: Trades: 2 | Win%: 100.0% | PnL: 0.38
SKYUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
STGUSDT: Trades: 2 | Win%: 100.0% | PnL: 0.85
VETUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
ZILUSDT: Trades: 2 | Win%: 100.0% | PnL: 0.16
BANANAUSDT: Trades: 1 | Win%: 0.0% | PnL: -0.46
UBUSDT: Trades: 1 | Win%: 100.0% | PnL: 0.46
PLUMEUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
ORDIUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
MEUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
ALICEUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
NILUSDT: Trades: 2 | Win%: 0.0% | PnL: -1.45
AGLDUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
FLOKIUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
MRVLUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
MASKUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
AVGOUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
RAVEUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
JDUSDT: Trades: 1 | Win%: 0.0% | PnL: -0.16
TUTUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
MMTUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
LABUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
RAYUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
SPACEUSDT: Trades: 1 | Win%: 100.0% | PnL: 0.15
PIEVERSEUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
AIXBTUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
JASMYUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
MUBARAKUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
IBMUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
USELESSUSDT: Trades: 2 | Win%: 0.0% | PnL: -1.48
QUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
GEUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
CUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
BIRBUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
MERLUSDT: Trades: 2 | Win%: 0.0% | PnL: -1.40
ANIMEUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
WETUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
FRAXUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
MAUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
BIOUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
NOTUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
MANAUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
SKRUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
ROSEUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
RDNTUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
HNTUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
STORJUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
LLYUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
XVGUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
AZTECUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
IOUSDT: Trades: 1 | Win%: 0.0% | PnL: -0.97
MEWUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
ZAMAUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
UNHUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
ZORAUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
COOKIEUSDT: Trades: 1 | Win%: 0.0% | PnL: -1.00
APEUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
RVNUSDT: Trades: 2 | Win%: 0.0% | PnL: -0.86
BREVUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
C98USDT: Trades: 1 | Win%: 0.0% | PnL: -0.73
INITUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
SUSHIUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
GWEIUSDT: Trades: 2 | Win%: 100.0% | PnL: 2.11
WMTUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
LAUSDT: Trades: 2 | Win%: 100.0% | PnL: 0.14
SNXUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
MELANIAUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
1000RATSUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
FORMUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
BASUSDT: Trades: 6 | Win%: 83.3% | PnL: 2.09
KAVAUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
IMXUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
KGENUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
ALTUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
COMPUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
WUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
LUNCUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
PEPUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
BUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
VELOUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
LPTUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
SUNUSDT: Trades: 1 | Win%: 100.0% | PnL: 0.28
BOMEUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
ORCAUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
GRTUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
ALCHUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
CHRUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
MOVEUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
XOMUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
POPCATUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
COPUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
FOGOUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
NEOUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
VINEUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
OLUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
AXLUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
DEEPUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
ARKMUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
EPICUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
SQDUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
GMTUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
CROSSUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
AUCTIONUSDT: Trades: 2 | Win%: 100.0% | PnL: 0.57
AVNTUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
LINEAUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
ACNUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
FFUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
ZRXUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
1INCHUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
EGLDUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
OGUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
1000000MOGUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
BSVUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
WCTUSDT: Trades: 2 | Win%: 100.0% | PnL: 0.84
IRYSUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
ELSAUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
EDENUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
GMEUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
HOLOUSDT: Trades: 2 | Win%: 0.0% | PnL: -1.98
BBUSDT: Trades: 1 | Win%: 0.0% | PnL: -0.97
NXPCUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
LQTYUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
ICXUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
KNCUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
DRIFTUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
LAYERUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
ACTUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
PROMUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
OGNUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
VANRYUSDT: Trades: 1 | Win%: 100.0% | PnL: 0.11
VANAUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
SENTUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
SLPUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
GOATUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
HYPERUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
THETAUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
USUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
ZKPUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
FLOCKUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
ASTRUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
MEMEUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
TAGUSDT: Trades: 3 | Win%: 33.3% | PnL: -1.36
ATUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
XPINUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
CLOUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
AUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
SSVUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
COSTUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
NEIROCTOUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
NOMUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
HAEDALUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
ATAUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
XTZUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
FIDAUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
BATUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
AIOUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
METUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
ACEUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
MINAUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
QTUMUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
HEIUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
XAIUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
RSRUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
SOPHUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
BICOUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
YBUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
KAIAUSDT: Trades: 1 | Win%: 0.0% | PnL: -1.01
ACHUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
SYRUPUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
BELUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
